term,document_frequency,idf
antagonister,1,4.277144732992177
fourni,1,4.277144732992177
northbroo,1,4.277144732992177
desdif,1,4.277144732992177
orogastriqu,1,4.277144732992177
chatte,1,4.277144732992177
discharge,1,4.277144732992177
dpts,11,2.4853852637641216
stent,2,3.8716796248840124
aucunement,5,3.178532444324067
sduisante,3,3.583997552432231
lobligation,8,2.7730673362159024
thyrodien,3,3.583997552432231
dbut,47,1.099090902644231
clt,1,4.277144732992177
engrange,1,4.277144732992177
resp,12,2.4053425560905852
garric,1,4.277144732992177
cytomgaloviru,10,2.5723966407537513
letco,2,3.8716796248840124
psychiatrie,3,3.583997552432231
carboxyhmoglobinmie,1,4.277144732992177
duf,2,3.8716796248840124
dialyseur,3,3.583997552432231
dissimuler,2,3.8716796248840124
r,35,1.3867729750960118
porcelet,1,4.277144732992177
typhod,1,4.277144732992177
subinhibitrice,1,4.277144732992177
triple,9,2.667706820558076
audiagnostic,1,4.277144732992177
alomylite,2,3.8716796248840124
haemophilusinfluenzae,1,4.277144732992177
ranc,1,4.277144732992177
dfaille,1,4.277144732992177
assimilable,4,3.3608540011180215
chass,4,3.3608540011180215
glomrulaire,5,3.178532444324067
cheynes,1,4.277144732992177
rel,33,1.4439313889359604
fille,5,3.178532444324067
phnicols,1,4.277144732992177
ohistiocytose,1,4.277144732992177
hypopne,1,4.277144732992177
atteint,27,1.6380874033769177
sonication,1,4.277144732992177
lthyliqu,1,4.277144732992177
mcanisme,49,1.0582689081239758
cardiomyocyte,1,4.277144732992177
associatier,1,4.277144732992177
bronchopneumoni,3,3.583997552432231
sommer,2,3.8716796248840124
glutamatergiques,1,4.277144732992177
alcaline,5,3.178532444324067
ouest,7,2.890850371872286
rogers,1,4.277144732992177
mid,2,3.8716796248840124
vasoconstrictif,1,4.277144732992177
hyposig,1,4.277144732992177
ley,1,4.277144732992177
delagravit,1,4.277144732992177
leh,1,4.277144732992177
dconseiller,4,3.3608540011180215
chrono,2,3.8716796248840124
nonc,6,3.0243817644968085
bothrofav,1,4.277144732992177
brazdil,1,4.277144732992177
secrteur,1,4.277144732992177
rongeur,2,3.8716796248840124
envers,8,2.7730673362159024
mutuellement,2,3.8716796248840124
tripl,1,4.277144732992177
mdullaire,11,2.4853852637641216
urothque,1,4.277144732992177
mcanorcepteur,3,3.583997552432231
mollients,1,4.277144732992177
lintensification,1,4.277144732992177
manager,1,4.277144732992177
inexistant,7,2.890850371872286
pliade,1,4.277144732992177
tyrannie,1,4.277144732992177
peng,1,4.277144732992177
vacuer,4,3.3608540011180215
calverley,1,4.277144732992177
rflchi,9,2.667706820558076
buter,1,4.277144732992177
prparatoir,1,4.277144732992177
pardonner,2,3.8716796248840124
gniogloss,2,3.8716796248840124
daujourdhui,4,3.3608540011180215
gondii,1,4.277144732992177
dfaveur,4,3.3608540011180215
disparate,3,3.583997552432231
publi,26,1.6744550475477928
oside,1,4.277144732992177
factuel,7,2.890850371872286
busulfan,2,3.8716796248840124
sigmodienne,1,4.277144732992177
rsolvase,1,4.277144732992177
dher,2,3.8716796248840124
appauvrir,2,3.8716796248840124
dendocarde,1,4.277144732992177
battue,1,4.277144732992177
dgrader,6,3.0243817644968085
mrite,27,1.6380874033769177
lmentairer,1,4.277144732992177
systmatis,2,3.8716796248840124
hbergent,2,3.8716796248840124
bientt,3,3.583997552432231
angiographique,1,4.277144732992177
acidosis,2,3.8716796248840124
assimilation,1,4.277144732992177
injustifier,1,4.277144732992177
hif,1,4.277144732992177
rnovasculair,1,4.277144732992177
asphyxique,2,3.8716796248840124
saliv,1,4.277144732992177
photo,1,4.277144732992177
couloir,3,3.583997552432231
duremrien,1,4.277144732992177
scrter,7,2.890850371872286
dinhaler,1,4.277144732992177
dupost,1,4.277144732992177
slectionnant,1,4.277144732992177
hypophosphormi,1,4.277144732992177
lahle,1,4.277144732992177
dpos,2,3.8716796248840124
dormir,9,2.667706820558076
rectal,14,2.262241712449912
larger,2,3.8716796248840124
dotrecogine,1,4.277144732992177
ruelopold,1,4.277144732992177
consomms,4,3.3608540011180215
bassin,5,3.178532444324067
caryotype,2,3.8716796248840124
troismois,1,4.277144732992177
adc,1,4.277144732992177
enterococcal,1,4.277144732992177
extensi,1,4.277144732992177
identification,21,1.879249460193806
diagnosed,1,4.277144732992177
zni,2,3.8716796248840124
yxiqu,1,4.277144732992177
dcoration,1,4.277144732992177
thrombos,19,1.9745596399981307
ylline,4,3.3608540011180215
dumanteau,1,4.277144732992177
vander,1,4.277144732992177
sir,10,2.5723966407537513
arrondir,2,3.8716796248840124
inthemanagement,2,3.8716796248840124
sdd,2,3.8716796248840124
sida,7,2.890850371872286
griner,1,4.277144732992177
pharmacody,3,3.583997552432231
pesty,1,4.277144732992177
hpatalgie,1,4.277144732992177
pharmacocintiquer,1,4.277144732992177
shistomosomose,1,4.277144732992177
sympatholyse,1,4.277144732992177
darsonval,1,4.277144732992177
rtrodiffuse,1,4.277144732992177
valvulopathie,8,2.7730673362159024
inspection,2,3.8716796248840124
moyenneproportion,1,4.277144732992177
liquid,2,3.8716796248840124
extraponine,1,4.277144732992177
nitrs,4,3.3608540011180215
compense,3,3.583997552432231
bougie,1,4.277144732992177
celui,53,0.9813078669878474
mthyliqu,1,4.277144732992177
tablir,31,1.5045560107523954
lointain,2,3.8716796248840124
retor,1,4.277144732992177
empericu,1,4.277144732992177
champignon,9,2.667706820558076
roggendorf,1,4.277144732992177
bouros,1,4.277144732992177
pepi,6,3.0243817644968085
engags,2,3.8716796248840124
martin,8,2.7730673362159024
bilharziose,2,3.8716796248840124
brancardier,1,4.277144732992177
pnalisant,1,4.277144732992177
aep,1,4.277144732992177
ccpprb,6,3.0243817644968085
arranged,1,4.277144732992177
protecteur,25,1.7121953755306398
lhparine,9,2.667706820558076
mercierb,1,4.277144732992177
minidos,1,4.277144732992177
hugo,1,4.277144732992177
trocard,1,4.277144732992177
dammoniaqu,1,4.277144732992177
penthotal,2,3.8716796248840124
pul,6,3.0243817644968085
baranger,7,2.890850371872286
fictivement,1,4.277144732992177
coqu,2,3.8716796248840124
pronostiquesindpendant,1,4.277144732992177
ractif,9,2.667706820558076
bohr,1,4.277144732992177
lhalothan,2,3.8716796248840124
saillant,2,3.8716796248840124
edi,1,4.277144732992177
relire,9,2.667706820558076
daciclovir,1,4.277144732992177
sod,7,2.890850371872286
lintense,1,4.277144732992177
remarque,13,2.331234583936863
absent,11,2.4853852637641216
toxicocintique,3,3.583997552432231
desmachine,1,4.277144732992177
confrence,24,1.7514160886839212
oropharyng,2,3.8716796248840124
rosant,2,3.8716796248840124
premier,52,1.0
acclration,4,3.3608540011180215
zona,1,4.277144732992177
intangible,1,4.277144732992177
satisfaisant,32,1.4737843520856415
antipoison,4,3.3608540011180215
wunderink,1,4.277144732992177
dascite,3,3.583997552432231
arthur,1,4.277144732992177
entropie,1,4.277144732992177
correspondre,47,1.099090902644231
aire,24,1.7514160886839212
srieu,1,4.277144732992177
hmodynamiqu,18,2.0258529343856813
hypersomnolence,1,4.277144732992177
msothlial,1,4.277144732992177
que,1,4.277144732992177
expliciton,1,4.277144732992177
gnitale,2,3.8716796248840124
palmaire,1,4.277144732992177
pursuit,1,4.277144732992177
vb,1,4.277144732992177
miller,3,3.583997552432231
hellp,5,3.178532444324067
discut,30,1.5363047090669757
lecorre,1,4.277144732992177
vittaccer,1,4.277144732992177
redondance,2,3.8716796248840124
dmocratie,1,4.277144732992177
extrieur,19,1.9745596399981307
rwj,1,4.277144732992177
rpartie,5,3.178532444324067
sangde,1,4.277144732992177
limine,19,1.9745596399981307
anatomique,11,2.4853852637641216
signal,13,2.331234583936863
effondrement,5,3.178532444324067
linfusat,1,4.277144732992177
sl,2,3.8716796248840124
lapn,1,4.277144732992177
segmentation,1,4.277144732992177
carefully,1,4.277144732992177
iodealcool,1,4.277144732992177
indfini,1,4.277144732992177
ofpulmo,1,4.277144732992177
sarcom,1,4.277144732992177
thiazidique,3,3.583997552432231
entr,5,3.178532444324067
effraction,4,3.3608540011180215
intravsical,1,4.277144732992177
malformation,5,3.178532444324067
ducatif,2,3.8716796248840124
parchovirus,1,4.277144732992177
lazote,2,3.8716796248840124
livrs,1,4.277144732992177
